vegtyp,description,CH2OP,DLEAF,Z0MVT,HVT,HVB,DEN,RC,MFSNO,SCFFAC,albedo_mean,albedo_max,albedo_min
1,Urban and Built-Up Land,0.1,0.04,1,15,1,0.01,1,2.5,0.042,0.19,0.25,0.15
2,Dryland Cropland and Pasture,0.1,0.04,0.15,2,0.1,25,0.08,2.5,0.014,0.22,0.3,0.18
3,Irrigated Cropland and Pasture,0.1,0.04,0.15,2,0.1,25,0.08,2.5,0.014,0.17,0.2,0.12
4,Mixed Dryland/Irrigated Cropland and Pasture,0.1,0.04,0.15,2,0.1,25,0.08,2.5,0.014,0.17,0.2,0.12
5,Cropland/Grassland Mosaic,0.1,0.04,0.14,1.5,0.1,25,0.08,2.5,0.026,0.16,0.2,0.12
6,Cropland/Woodland Mosaic,0.1,0.04,0.5,8,0.15,25,0.08,2.5,0.026,0.2,0.21,0.18
7,Grassland,0.1,0.04,0.12,1,0.05,100,0.03,2.5,0.02,0.19,0.21,0.17
8,Shrubland,0.1,0.04,0.06,1.1,0.1,10,0.12,2.5,0.018,0.17,0.23,0.13
9,Mixed Shrubland/Grassland,0.1,0.04,0.09,1.1,0.1,10,0.12,2.5,0.016,0.2,0.3,0.11
10,Savanna,0.1,0.04,0.5,10,0.1,0.02,3,2.5,0.02,0.16,0.21,0.13
11,Deciduous Broadleaf Forest,0.1,0.04,0.8,16,11.5,0.1,1.4,2.5,0.008,0.15,0.2,0.1
12,Deciduous Needleleaf Forest,0.1,0.04,0.85,18,7,0.28,1.2,2.5,0.008,0.11,0.12,0.1
13,Evergreen Broadleaf Forest,0.1,0.04,1.1,20,8,0.02,3.6,2.5,0.008,0.14,0.16,0.12
14,Evergreen Needleleaf Forest,0.1,0.04,1.09,20,8.5,0.28,1.2,2.5,0.008,0.11,0.15,0.05
15,Mixed Forest,0.1,0.04,0.8,16,10,0.1,1.4,2.5,0.008,0.13,0.18,0.1
16,Water Bodies,0.1,0.04,0,0,0,0.01,0.01,2.5,0.03,0.08,0.15,0.03
17,Herbaceous Wetland,0.1,0.04,0.12,0.5,0.05,10,0.1,2.5,0.02,0.19,0.32,0.11
18,Wooded Wetland,0.1,0.04,0.5,10,0.1,0.1,1.4,2.5,0.02,0.19,0.32,0.11
19,Barren or Sparsely Vegetated,0.1,0.04,0,0,0,0.01,0.01,2.5,0.016,0.22,0.4,0.05
20,Herbaceous Tundra,0.1,0.04,0.1,0.5,0.1,1,0.3,2.5,0.03,0.19,0.2,0.18
21,Wooded Tundra,0.1,0.04,0.3,4,0.1,1,0.3,2.5,0.03,0.15,0.16,0.13
22,Mixed Tundra,0.1,0.04,0.2,2,0.1,1,0.3,2.5,0.03,0.16,0.17,0.15
23,Bare Ground Tundra,0.1,0.04,0.03,0.5,0.1,1,0.3,2.5,0.03,0.24,0.24,0.24
24,Snow or Ice,0.1,0.04,0,0,0,0,0,2.5,0.03,0.72,0.9,0.45
25,Playa,0.1,0.04,0.01,0.1,0.1,0.01,0.01,2.5,0.03,0.31,0.45,0.2
26,Lava,0.1,0.04,0,0,0,0.01,0.01,2.5,0.03,0.14,0.15,0.12
27,White Sand,0.1,0.04,0,0,0,0.01,0.01,2.5,0.03,0.31,0.45,0.2
