STASID,AXAJ,BXAJ,XXAJ,STATSType
1,0.009,0.05,0.05,  'SAND'
2,0.01,0.08,0.08,  'LOAMY SAND'
3,0.009,0.09,0.09,  'SANDY LOAM'
4,0.01,0.25,0.25,  'SILT LOAM'
5,0.012,0.15,0.15,  'SILT'
6,0.013,0.18,0.18,  'LOAM'
7,0.014,0.2,0.2,  'SANDY CLAY LOAM'
8,0.015,0.22,0.22,  'SILTY CLAY LOAM'
9,0.016,0.23,0.23,  'CLAY LOAM'
10,0.015,0.25,0.25,  'SANDY CLAY'
11,0.016,0.28,0.28,  'SILTY CLAY'
12,0.017,0.3,0.3,  'CLAY'
13,0.012,0.26,0.26,  'ORGANIC MATERIAL'
14,0.001,0,0,  'WATER'
15,0.017,1,1,  'BEDROCK'
16,0.017,1,1,  'OTHER(land-ice)'
17,0.017,1,1,  'PLAYA'
18,0.015,0.35,0.35,  'LAVA'
19,0.009,0.15,0.15,  'WHITE SAND'
